Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
587,male,group A,some college,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,75,72,64
874,male,group E,,free/reduced,none,single,sometimes,no,1.0,private,5 - 10,78,54,58
653,male,group D,bachelor's degree,standard,none,married,sometimes,,1.0,school_bus,< 5,69,57,65
422,female,group C,bachelor's degree,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,68,77,75
859,male,group C,master's degree,free/reduced,none,single,sometimes,yes,3.0,private,5 - 10,54,57,51
860,female,group C,associate's degree,standard,none,single,never,yes,2.0,school_bus,5 - 10,68,64,65
547,male,group D,some high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,67,72,71
445,male,group B,some high school,standard,none,single,sometimes,no,4.0,private,5 - 10,63,50,52
800,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,37,60,58
805,female,group D,high school,standard,none,married,regularly,yes,4.0,private,5 - 10,71,78,79
914,female,group D,associate's degree,standard,none,divorced,regularly,no,1.0,school_bus,< 5,54,63,66
779,female,group C,associate's degree,standard,none,married,regularly,yes,0.0,school_bus,< 5,66,76,73
455,female,group D,bachelor's degree,standard,completed,married,never,no,1.0,private,,61,76,77
207,female,group D,high school,standard,none,married,regularly,,0.0,school_bus,< 5,77,80,78
66,male,group B,some college,standard,,married,regularly,no,2.0,,5 - 10,82,73,72
796,male,group C,some high school,standard,completed,married,sometimes,yes,0.0,private,< 5,50,51,50
564,male,group D,some college,standard,none,single,sometimes,yes,2.0,private,5 - 10,85,68,69
184,male,group C,some high school,free/reduced,completed,married,never,no,4.0,school_bus,> 10,44,51,48
478,female,group B,bachelor's degree,standard,none,single,,yes,2.0,private,5 - 10,90,99,92
91,female,group B,some high school,free/reduced,completed,married,never,yes,3.0,,5 - 10,26,36,36
971,female,group D,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,73,75,81
396,male,group E,some college,standard,completed,divorced,sometimes,yes,0.0,private,5 - 10,94,85,85
732,female,group C,some college,standard,completed,married,never,yes,2.0,private,> 10,86,88,93
43,female,group D,,free/reduced,completed,married,regularly,yes,3.0,private,5 - 10,42,61,65
551,female,group B,high school,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,47,60,60
913,male,group C,some college,standard,none,married,never,yes,1.0,school_bus,> 10,48,42,39
321,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,1.0,school_bus,5 - 10,55,60,57
89,female,group C,some college,standard,completed,single,regularly,yes,2.0,school_bus,5 - 10,73,89,86
530,male,group B,some college,standard,completed,married,sometimes,yes,2.0,,> 10,65,63,58
410,male,group D,high school,standard,none,single,regularly,no,2.0,school_bus,< 5,70,59,56
850,male,group C,some college,free/reduced,none,single,regularly,no,3.0,school_bus,< 5,68,61,63
